MenuItemID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,Ratings,CreatedDate,ModifiedDate
16036,1289,Farmhouse Pizza,A must-try Farmhouse Pizza from India.,102,Italian & Continental,True,Veg,,2025-05-27 09:16:03,2025-05-27 09:16:03.638543
3451,279,Cheese Balls,Traditional Indian Cheese Balls with rich flavors.,469,Appetizers,True,Veg,4.8,2023-08-28 09:32:56,2024-09-22 02:28:58.000000
26399,2111,Masala Papad,A popular Indian dish.,311,Appetizers,True,Veg,5.0,2023-10-18 10:04:51,2025-04-04 11:42:05.000000
27479,2197,Paneer Tikka,A popular Indian dish.,142,Appetizers,True,Veg,4.0,2025-05-02 05:53:08,2025-05-02 05:53:08.416415
30443,2437,Batata Vada,A popular Indian dish.,434,Snacks & Street Food,True,Veg,3.0,2023-06-08 08:20:50,2023-12-02 19:02:30.000000
29158,2332,Grilled Chicken Steak,Delicious and authentic Grilled Chicken Steak.,480,Italian & Continental,True,Non-Veg,4.6,2021-12-18 07:58:00,2024-12-31 21:05:08.000000
22604,1810,Basundi,Delicious and authentic Basundi.,352,Desserts,True,Veg,,2024-02-04 20:09:46,2024-09-03 02:46:23.000000
15750,1268,Pongal,Delicious and authentic Pongal.,324,South Indian,True,Veg,3.2,2024-12-25 20:31:59,2025-02-27 05:50:05.000000
33103,2649,Spring Rolls,A popular Indian dish.,394,Appetizers,True,Veg,2.3,2024-01-07 07:05:39,2024-07-25 13:21:49.000000
30291,2424,Vegetable Stew,Delicious and authentic Vegetable Stew.,127,South Indian,True,Veg,4.0,2021-01-14 07:33:29,2021-04-14 00:11:35.000000
4099,332,Bisibele Bath,A popular Indian dish.,207,South Indian,True,Veg,3.6,2022-12-04 02:46:46,2024-04-17 15:41:08.000000
17526,1408,Crispy Honey Chilli Potatoes,Traditional Indian Crispy Honey Chilli Potatoes with rich flavors.,357,Chinese & Indo-Chinese,True,Veg,3.0,2025-03-16 02:50:24,2025-03-26 13:23:25.000000
19790,1589,Paneer Tikka,A must-try Paneer Tikka from India.,402,Appetizers,True,Veg,4.8,2024-04-06 02:22:00,2024-11-02 04:24:47.000000
17318,1393,Egg Roll,Traditional Indian Egg Roll with rich flavors.,182,Snacks & Street Food,True,Non-Veg,4.0,2025-03-12 20:46:00,2025-03-13 04:55:05.000000
29752,2380,Sandesh,Classic Sandesh with a twist.,57,Desserts,True,Veg,2.0,2024-12-21 22:21:29,2025-03-05 02:27:23.000000
5693,460,Gobi Manchurian,Traditional Indian Gobi Manchurian with rich flavors.,191,Chinese & Indo-Chinese,True,Veg,4.0,2022-03-27 19:05:23,2025-01-27 00:47:51.000000
15689,1263,Hara Bhara Kebab,A popular Indian dish.,305,Appetizers,True,Veg,4.0,2024-02-09 02:17:11,2024-12-22 05:34:06.000000
21436,1718,Badam Milk,Traditional Indian Badam Milk with rich flavors.,269,Beverages,True,Veg,3.8,2023-12-02 09:09:52,2024-11-30 12:53:19.000000
6299,507,Mirchi Bajji,A must-try Mirchi Bajji from India.,129,Snacks & Street Food,True,Veg,4.0,2023-11-25 10:32:38,2024-04-24 16:32:25.000000
7010,563,Corn on the Cob,Delicious and authentic Corn on the Cob.,185,Snacks & Street Food,True,Veg,,2025-05-23 22:06:06,2025-05-23 22:06:06.751327
13260,1065,Paneer Chilli Dry,Delicious and authentic Paneer Chilli Dry.,117,Chinese & Indo-Chinese,True,Veg,3.9,2022-08-30 23:09:04,2023-09-29 10:47:22.000000
23884,1914,Corn on the Cob,Delicious and authentic Corn on the Cob.,191,Snacks & Street Food,True,Veg,4.0,2025-05-14 21:04:22,2025-05-14 21:04:22.623432
26439,2114,Dabeli,A must-try Dabeli from India.,407,Snacks & Street Food,True,Veg,3.4,2023-06-19 09:05:55,2023-09-04 13:16:16.000000
19834,1593,Masala Chai,Traditional Indian Masala Chai with rich flavors.,520,Beverages,True,Veg,4.8,2023-02-07 05:05:44,2023-06-03 03:25:12.000000
11883,954,Neer Dosa,A popular Indian dish.,242,South Indian,True,Veg,,2025-04-02 04:17:18,2025-04-15 11:22:59.000000
33866,2710,Plain Dosa,Traditional Indian Plain Dosa with rich flavors.,383,South Indian,True,Veg,4.2,2022-09-29 01:21:21,2024-11-08 12:36:25.000000
25004,2003,Burritos,Traditional Indian Burritos with rich flavors.,118,Italian & Continental,True,Veg,5.0,2025-03-29 05:25:38,2025-04-17 02:36:03.000000
24470,1960,Onion Uttapam,Delicious and authentic Onion Uttapam.,61,South Indian,True,Veg,2.0,2025-03-17 19:34:53,2025-04-02 00:00:52.000000
26599,2128,Pepperoni Pizza,Classic Pepperoni Pizza with a twist.,373,Italian & Continental,True,Non-Veg,2.7,2023-10-08 08:55:30,2024-01-21 21:18:16.000000
4506,364,Cold Coffee,A popular Indian dish.,463,Beverages,True,Veg,3.8,2025-01-30 09:08:46,2025-04-17 07:46:44.000000
33436,2675,Hara Bhara Kebab,Classic Hara Bhara Kebab with a twist.,507,Appetizers,True,Veg,4.0,2022-06-30 11:54:33,2025-04-17 23:36:46.000000
28119,2248,Garlic Bread,A must-try Garlic Bread from India.,526,Italian & Continental,True,Veg,2.8,2025-02-03 20:53:40,2025-02-14 07:58:37.000000
25249,2021,Plain Dosa,Delicious and authentic Plain Dosa.,274,South Indian,True,Veg,5.0,2025-03-28 02:41:33,2025-04-19 07:22:28.000000
24809,1988,Cold Brew Coffee,Traditional Indian Cold Brew Coffee with rich flavors.,550,Beverages,True,Veg,5.0,2025-04-15 22:34:32,2025-04-22 01:27:08.000000
3612,291,Chana Chaat,Delicious and authentic Chana Chaat.,192,Snacks & Street Food,True,Veg,4.0,2024-03-17 02:31:42,2024-08-07 02:26:06.000000
25767,2063,Quesadillas,A must-try Quesadillas from India.,455,Italian & Continental,True,Veg,3.7,2023-08-22 11:55:13,2024-11-03 02:36:42.000000
33846,2709,Chicken Chettinad,Traditional Indian Chicken Chettinad with rich flavors.,398,Main Course,True,Non-Veg,4.5,2022-06-07 17:40:35,2022-08-27 12:07:51.000000
810,66,Masala Chai,Classic Masala Chai with a twist.,396,Beverages,True,Veg,3.7,2024-03-16 12:16:49,2024-07-09 20:47:54.000000
32433,2595,Tandoori Momos,Classic Tandoori Momos with a twist.,296,Snacks & Street Food,True,Non-Veg,3.0,2024-06-04 10:13:07,2024-10-14 02:14:16.000000
27647,2211,Veg Frankie,Delicious and authentic Veg Frankie.,302,Snacks & Street Food,True,Veg,5.0,2025-01-11 23:01:18,2025-01-27 22:56:18.000000
15861,1276,Burritos,Traditional Indian Burritos with rich flavors.,498,Italian & Continental,True,Veg,4.0,2025-03-14 09:15:38,2025-04-04 07:31:30.000000
7565,609,Cheese Corn Nuggets,Classic Cheese Corn Nuggets with a twist.,256,Appetizers,True,Veg,2.5,2024-10-30 03:13:48,2025-02-05 07:39:48.000000
4217,342,Baingan Bharta,Classic Baingan Bharta with a twist.,169,Main Course,True,Veg,,2025-06-17 08:05:32,2025-06-17 08:05:32.931354
29155,2332,Apple Pie,Classic Apple Pie with a twist.,207,Desserts,True,Veg,4.6,2022-01-17 02:04:32,2022-05-12 01:46:24.000000
20989,1684,Phirni,A must-try Phirni from India.,487,Desserts,True,Veg,4.0,2024-06-23 00:19:09,2025-04-17 08:23:49.000000
2667,214,Chicken Manchurian,Classic Chicken Manchurian with a twist.,324,Chinese & Indo-Chinese,True,Non-Veg,4.3,2020-09-13 13:25:29,2025-01-23 20:37:17.000000
34895,2794,Egg Roll,A must-try Egg Roll from India.,485,Snacks & Street Food,True,Non-Veg,,2025-06-21 15:25:16,2025-06-21 15:25:16.216359
1863,150,Penne Arrabbiata,Delicious and authentic Penne Arrabbiata.,185,Italian & Continental,True,Veg,,2025-04-06 22:13:08,2025-04-10 14:45:05.000000
15516,1248,Coconut Water,Classic Coconut Water with a twist.,313,Beverages,True,Veg,4.4,2024-04-14 23:29:23,2024-12-27 20:48:54.000000
18372,1475,Gobi Manchurian,Delicious and authentic Gobi Manchurian.,407,Appetizers,True,Veg,3.8,2021-08-24 11:22:22,2023-07-29 10:18:58.000000
651,53,Mirchi Bajji,A popular Indian dish.,72,Snacks & Street Food,True,Veg,4.6,2024-04-30 12:30:20,2024-08-09 09:50:34.000000
23097,1851,Mushroom Risotto,A must-try Mushroom Risotto from India.,201,Italian & Continental,True,Veg,4.8,2024-09-13 09:37:10,2024-12-07 20:35:46.000000
5831,471,Crispy Honey Chilli Potatoes,Traditional Indian Crispy Honey Chilli Potatoes with rich flavors.,353,Chinese & Indo-Chinese,True,Veg,3.3,2023-02-07 16:54:46,2024-08-03 09:31:38.000000
1563,126,Masala Chai,A must-try Masala Chai from India.,140,Beverages,True,Veg,,2024-11-24 22:59:18,2025-02-06 01:04:35.000000
28783,2302,Egg Curry,Traditional Indian Egg Curry with rich flavors.,264,Main Course,True,Non-Veg,4.3,2023-07-23 06:00:37,2024-07-08 12:31:54.000000
21712,1740,Quesadillas,A popular Indian dish.,193,Italian & Continental,True,Veg,4.7,2023-12-09 21:51:53,2025-03-30 00:15:56.000000
22130,1774,Dal Makhani,Delicious and authentic Dal Makhani.,489,Main Course,True,Veg,4.0,2023-09-20 21:07:38,2024-09-03 02:49:44.000000
15459,1243,Badam Milk,Classic Badam Milk with a twist.,357,Beverages,True,Veg,3.7,2024-02-13 19:17:25,2024-12-25 22:50:35.000000
28410,2272,Mutton Handi,Delicious and authentic Mutton Handi.,457,Main Course,True,Non-Veg,4.0,2023-08-14 13:45:46,2025-03-25 02:59:03.000000
11976,962,Chilli Paneer,Classic Chilli Paneer with a twist.,390,Appetizers,True,Veg,3.9,2023-12-27 22:42:37,2024-04-02 17:04:30.000000
9490,765,Pakora,A must-try Pakora from India.,350,Snacks & Street Food,True,Veg,4.0,2024-07-01 03:26:39,2024-08-12 22:22:07.000000
7113,571,Kathi Roll,Classic Kathi Roll with a twist.,211,Snacks & Street Food,True,Non-Veg,3.8,2024-06-02 18:57:33,2025-01-13 00:49:37.000000
34801,2787,Fried Rice,Traditional Indian Fried Rice with rich flavors.,75,Chinese & Indo-Chinese,True,Veg,,2025-05-16 00:19:29,2025-05-16 00:19:29.717872
1785,143,Rava Dosa,Classic Rava Dosa with a twist.,109,South Indian,True,Veg,3.5,2025-05-03 02:26:01,2025-05-03 02:26:01.472909
400,33,Manchow Soup,A popular Indian dish.,272,Chinese & Indo-Chinese,True,Veg,4.5,2024-12-19 13:11:36,2025-02-25 19:42:12.000000
19885,1597,Rogan Josh,A popular Indian dish.,490,Main Course,True,Non-Veg,3.8,2023-07-17 20:10:13,2023-09-30 10:07:17.000000
8918,719,Egg Curry,A popular Indian dish.,389,Main Course,True,Non-Veg,,2025-03-18 23:23:51,2025-04-06 16:19:22.000000
32372,2590,Crispy Honey Chilli Potatoes,Delicious and authentic Crispy Honey Chilli Potatoes.,476,Chinese & Indo-Chinese,True,Veg,3.5,2024-07-11 00:27:50,2025-01-18 12:11:30.000000
5790,468,Ghee Roast Dosa,Traditional Indian Ghee Roast Dosa with rich flavors.,194,South Indian,True,Veg,3.6,2023-07-30 07:33:22,2025-03-13 17:48:54.000000
2608,209,Onion Uttapam,A popular Indian dish.,193,South Indian,True,Veg,3.0,2025-01-04 12:22:01,2025-03-16 23:54:43.000000
19009,1529,Chilli Paneer,A must-try Chilli Paneer from India.,170,Chinese & Indo-Chinese,True,Veg,3.0,2025-04-02 10:32:15,2025-04-04 12:03:02.000000
20736,1664,Garlic Bread,Traditional Indian Garlic Bread with rich flavors.,204,Italian & Continental,True,Veg,3.0,2023-10-20 01:14:18,2023-11-13 19:16:55.000000
20741,1664,Rava Dosa,Delicious and authentic Rava Dosa.,188,South Indian,True,Veg,4.0,2023-10-22 12:42:50,2024-09-02 20:01:58.000000
30421,2435,Tandoori Prawns,A popular Indian dish.,105,Appetizers,True,Non-Veg,3.8,2021-03-24 09:41:35,2024-12-16 13:50:50.000000
31513,2522,Stuffed Mushrooms,A popular Indian dish.,105,Appetizers,True,Veg,2.0,2024-12-13 17:39:11,2025-03-04 21:52:59.000000
2262,181,Veg Frankie,Traditional Indian Veg Frankie with rich flavors.,152,Snacks & Street Food,True,Veg,4.1,2024-01-16 04:51:22,2024-05-06 16:00:44.000000
1594,128,Hot & Sour Soup,A must-try Hot & Sour Soup from India.,540,Chinese & Indo-Chinese,True,Veg,2.0,2025-03-15 06:16:16,2025-04-14 16:17:34.000000
34904,2794,Pongal,Classic Pongal with a twist.,336,South Indian,True,Veg,,2025-06-09 17:41:09,2025-06-09 17:41:09.376988
25746,2061,Mirchi Bajji,Traditional Indian Mirchi Bajji with rich flavors.,269,Snacks & Street Food,True,Veg,4.1,2022-01-27 15:40:01,2023-04-30 13:41:24.000000
28935,2313,Spaghetti Aglio e Olio,A popular Indian dish.,162,Italian & Continental,True,Veg,4.0,2020-10-16 11:51:44,2024-01-22 10:38:25.000000
4844,391,Fruit Custard,Classic Fruit Custard with a twist.,413,Desserts,True,Veg,5.0,2025-06-11 22:35:59,2025-06-11 22:35:59.773263
811,66,Bhel Puri,A must-try Bhel Puri from India.,161,Snacks & Street Food,True,Veg,4.6,2024-02-29 20:30:23,2024-10-10 13:31:19.000000
15159,1218,Mushroom Risotto,Traditional Indian Mushroom Risotto with rich flavors.,469,Italian & Continental,True,Veg,4.6,2023-11-09 09:47:20,2024-12-23 19:57:39.000000
18169,1458,Quesadillas,Classic Quesadillas with a twist.,267,Italian & Continental,True,Veg,4.0,2023-11-22 09:16:07,2024-07-30 16:14:47.000000
21500,1724,Tomato Uttapam,Traditional Indian Tomato Uttapam with rich flavors.,354,South Indian,True,Veg,3.0,2024-09-21 16:24:02,2024-11-15 12:12:54.000000
552,46,Dabeli,Delicious and authentic Dabeli.,90,Snacks & Street Food,True,Veg,4.2,2024-07-30 22:51:37,2024-07-31 01:03:13.000000
28937,2313,Stuffed Bell Peppers,Classic Stuffed Bell Peppers with a twist.,65,Italian & Continental,True,Veg,3.8,2020-12-01 14:23:40,2023-02-13 10:52:36.000000
26200,2096,Bisibele Bath,A popular Indian dish.,341,South Indian,True,Veg,4.0,2025-04-18 21:20:38,2025-04-19 06:50:07.000000
25761,2062,Malabar Fish Curry,Delicious and authentic Malabar Fish Curry.,450,Main Course,True,Non-Veg,4.2,2024-02-17 03:18:07,2024-11-21 20:46:32.000000
9511,767,Chettinad Chicken,Classic Chettinad Chicken with a twist.,153,Main Course,True,Non-Veg,,2025-05-04 00:00:39,2025-05-04 00:00:39.003463
34137,2732,Bisibele Bath,Delicious and authentic Bisibele Bath.,295,South Indian,True,Veg,4.7,2025-02-24 11:35:21,2025-03-26 09:18:31.000000
1047,86,Methi Malai Murg,A popular Indian dish.,365,Main Course,True,Non-Veg,,2025-04-12 00:43:58,2025-04-15 03:00:20.000000
23159,1856,Chicken Manchurian,A popular Indian dish.,438,Chinese & Indo-Chinese,True,Non-Veg,4.3,2024-11-27 03:05:26,2025-01-17 01:16:10.000000
12514,1005,Nimbu Pani,A must-try Nimbu Pani from India.,136,Beverages,True,Veg,3.5,2024-01-17 19:46:04,2024-03-13 17:06:36.000000
7969,642,Chicken Manchurian,A popular Indian dish.,124,Chinese & Indo-Chinese,True,Non-Veg,3.5,2023-07-04 22:52:58,2025-04-05 20:54:31.000000
27014,2160,Samosa Chaat,Delicious and authentic Samosa Chaat.,506,Snacks & Street Food,True,Veg,3.6,2023-02-08 05:38:18,2024-08-09 13:41:36.000000
11799,948,Schezwan Noodles,A must-try Schezwan Noodles from India.,411,Chinese & Indo-Chinese,True,Veg,4.0,2025-05-04 02:28:59,2025-05-04 02:28:59.337580
7771,627,Mango Shrikhand,A must-try Mango Shrikhand from India.,476,Desserts,True,Veg,5.0,2024-12-23 20:55:15,2025-02-22 08:54:59.000000
34487,2762,Shahi Tukda,Traditional Indian Shahi Tukda with rich flavors.,205,Desserts,True,Veg,5.0,2025-03-02 19:07:51,2025-03-29 06:13:35.000000
33457,2677,Lemon Rice,Delicious and authentic Lemon Rice.,507,South Indian,True,Veg,4.6,2024-05-24 12:08:41,2024-12-13 06:48:15.000000
6626,533,Chicken Tikka,Traditional Indian Chicken Tikka with rich flavors.,441,Appetizers,True,Non-Veg,4.3,2023-02-19 18:39:50,2024-09-28 07:40:40.000000
13432,1079,Chowmein,Delicious and authentic Chowmein.,447,Snacks & Street Food,True,Veg,3.5,2024-11-27 22:01:29,2025-04-22 00:26:27.000000
6423,517,Medu Vada,Classic Medu Vada with a twist.,220,South Indian,True,Veg,2.5,2023-07-06 16:33:18,2024-12-13 11:15:17.000000
12969,1041,Masala Papad,Classic Masala Papad with a twist.,267,Appetizers,True,Veg,4.0,2025-01-02 21:57:26,2025-02-10 19:57:35.000000
14436,1160,Manchow Soup,Traditional Indian Manchow Soup with rich flavors.,550,Chinese & Indo-Chinese,True,Veg,4.0,2023-07-18 05:03:42,2024-08-15 12:43:00.000000
15695,1263,Tandoori Broccoli,Classic Tandoori Broccoli with a twist.,411,Appetizers,True,Veg,3.0,2024-03-21 22:16:48,2024-06-07 21:49:43.000000
29012,2320,Rose Sharbat,A popular Indian dish.,297,Beverages,True,Veg,3.7,2021-07-31 07:18:33,2025-03-16 22:53:51.000000
13798,1109,Grilled Chicken Steak,A popular Indian dish.,499,Italian & Continental,True,Non-Veg,,2025-04-29 04:34:24,2025-04-29 04:34:24.851107
23788,1906,Chocolate Brownie,Delicious and authentic Chocolate Brownie.,543,Desserts,True,Veg,4.0,2024-01-26 03:34:11,2024-06-18 10:55:55.000000
12872,1033,Cold Brew Coffee,A must-try Cold Brew Coffee from India.,182,Beverages,True,Veg,4.3,2022-10-13 22:19:15,2024-03-06 10:08:43.000000
24186,1938,Margherita Pizza,Classic Margherita Pizza with a twist.,266,Italian & Continental,True,Veg,3.4,2022-01-06 07:22:29,2023-06-24 08:11:08.000000
6581,530,Grilled Chicken Steak,Classic Grilled Chicken Steak with a twist.,340,Italian & Continental,True,Non-Veg,4.2,2023-07-24 00:47:51,2024-04-21 18:02:40.000000
15621,1257,Sugarcane Juice,Delicious and authentic Sugarcane Juice.,450,Beverages,True,Veg,4.4,2024-02-19 09:32:39,2025-03-05 15:57:37.000000
25286,2024,Chana Chaat,A popular Indian dish.,254,Snacks & Street Food,True,Veg,5.0,2025-05-09 16:52:14,2025-05-09 16:52:14.237094
26825,2146,Rogan Josh,A must-try Rogan Josh from India.,483,Main Course,True,Non-Veg,4.5,2024-05-22 06:53:07,2024-12-08 11:47:28.000000
32611,2609,Schezwan Noodles,Traditional Indian Schezwan Noodles with rich flavors.,432,Chinese & Indo-Chinese,True,Veg,4.5,2023-12-28 08:06:30,2024-05-07 09:00:27.000000
