MenuID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,CreatedDate,ModifiedDate
28,3,Dal Makhani,Delicious and authentic Dal Makhani.,131,Main Course,True,Veg,2023-03-03 19:37:23,2024-11-30 14:27:12
29,3,Vada Pav,Classic Vada Pav with a twist.,406,Snacks,True,Veg,2023-11-25 22:03:12,2023-12-19 06:05:21
30,3,Chicken Wings,A must-try Chicken Wings from India.,307,Appetizers,True,Non-Veg,2023-11-06 17:16:20,2024-05-08 06:48:26
31,3,Pakora,Traditional Indian Pakora with rich flavors.,486,Snacks,True,Veg,2023-12-11 08:39:47,2024-11-09 21:16:33
32,3,Mutton Curry,Delicious and authentic Mutton Curry.,137,Main Course,True,Non-Veg,2023-07-22 04:35:16,2024-11-18 14:20:20
33,3,Butter Chicken,Classic Butter Chicken with a twist.,171,Main Course,True,Non-Veg,2024-02-21 20:58:38,2024-12-10 02:06:26
34,3,Gulab Jamun,A popular Indian dish.,192,Desserts,True,Veg,2023-04-14 20:39:38,2023-10-14 16:53:13
35,4,Gulab Jamun,A popular Indian dish.,471,Desserts,True,Veg,2022-07-05 20:46:07,2022-09-01 04:22:30
36,4,Mutton Curry,Delicious and authentic Mutton Curry.,50,Main Course,True,Non-Veg,2023-10-20 02:16:36,2024-02-09 00:49:54
37,4,Sandesh,Traditional Indian Sandesh with rich flavors.,216,Desserts,True,Veg,2023-06-22 12:45:01,2024-09-06 01:54:41
38,4,Chicken Wings,Traditional Indian Chicken Wings with rich flavors.,419,Appetizers,True,Non-Veg,2023-02-18 19:09:05,2024-09-29 05:01:04
39,4,Palak Paneer,Classic Palak Paneer with a twist.,200,Main Course,True,Veg,2023-04-13 14:02:17,2024-08-01 14:34:12
40,4,Ras Malai,A popular Indian dish.,424,Desserts,True,Veg,2023-06-26 13:27:32,2023-07-15 11:25:18
41,4,Kheer,Traditional Indian Kheer with rich flavors.,58,Desserts,True,Veg,2023-04-02 15:05:15,2024-02-08 12:24:08
42,4,Aloo Chaat,Delicious and authentic Aloo Chaat.,419,Snacks,True,Veg,2022-05-12 10:12:41,2023-07-28 16:17:35
43,4,Fruit Juice,Classic Fruit Juice with a twist.,332,Beverages,True,Veg,2022-03-13 20:05:40,2023-12-28 16:26:12
44,4,Malai Kofta,A popular Indian dish.,216,Main Course,True,Veg,2023-07-19 03:38:52,2024-04-03 15:53:45
45,4,Jalebi,Classic Jalebi with a twist.,372,Desserts,True,Veg,2023-10-25 11:41:32,2024-08-29 08:24:29
46,5,Malai Kofta,A popular Indian dish.,423,Main Course,True,Veg,2022-08-17 00:13:05,2023-04-27 14:28:15
47,5,Coconut Water,A popular Indian dish.,295,Beverages,True,Veg,2023-10-26 19:58:42,2024-07-22 16:19:23
48,5,Seekh Kebab,A popular Indian dish.,285,Appetizers,True,Non-Veg,2023-04-23 05:38:02,2025-02-17 18:52:17
49,5,Dal Makhani,A popular Indian dish.,341,Main Course,True,Veg,2023-07-01 18:16:14,2024-08-14 20:45:30
50,5,Nimbu Pani,Traditional Indian Nimbu Pani with rich flavors.,60,Beverages,True,Veg,2023-01-06 03:43:21,2024-08-23 11:31:52
51,5,Kheer,A popular Indian dish.,468,Desserts,True,Veg,2023-01-14 06:31:09,2023-09-16 20:55:06
52,5,Falooda,A popular Indian dish.,85,Beverages,True,Veg,2023-07-10 06:42:23,2024-09-06 05:31:58
53,5,Paneer Butter Masala,A must-try Paneer Butter Masala from India.,175,Main Course,True,Veg,2022-10-09 13:14:36,2023-06-06 14:31:41
54,5,Aam Panna,Delicious and authentic Aam Panna.,420,Beverages,True,Veg,2023-12-29 19:34:31,2024-08-03 17:15:11
55,5,Pani Puri,Delicious and authentic Pani Puri.,358,Snacks,True,Veg,2023-04-23 03:03:12,2024-10-29 11:23:17
56,5,Hara Bhara Kebab,A must-try Hara Bhara Kebab from India.,60,Appetizers,True,Veg,2024-02-09 11:24:53,2024-11-01 05:08:01
57,5,Samosa,Delicious and authentic Samosa.,117,Appetizers,True,Veg,2022-07-12 12:18:43,2023-12-24 02:37:10
58,5,Biryani,A popular Indian dish.,371,Main Course,True,Non-Veg,2023-07-01 00:20:19,2024-09-23 06:19:14
59,6,Samosa,Delicious and authentic Samosa.,327,Appetizers,True,Veg,2022-08-16 23:00:13,2025-01-06 03:48:31
60,6,Rasgulla,A popular Indian dish.,121,Desserts,True,Veg,2022-07-03 06:05:20,2023-08-01 19:57:54
61,6,Falooda,A must-try Falooda from India.,467,Beverages,True,Veg,2022-04-03 18:32:22,2022-07-18 09:40:32
62,6,Biryani,Traditional Indian Biryani with rich flavors.,295,Main Course,True,Non-Veg,2023-08-28 20:38:40,2024-04-06 10:10:12
63,6,Chole Bhature,Delicious and authentic Chole Bhature.,328,Main Course,True,Veg,2022-09-28 18:26:36,2023-08-03 00:55:17
64,6,Peda,Delicious and authentic Peda.,60,Desserts,True,Veg,2022-09-26 03:07:42,2023-11-16 04:11:57
65,6,Paneer Tikka,Classic Paneer Tikka with a twist.,201,Appetizers,True,Veg,2023-06-28 07:52:44,2024-02-29 17:59:18
66,6,Chicken Wings,A must-try Chicken Wings from India.,122,Appetizers,True,Non-Veg,2023-06-02 10:23:00,2023-08-20 06:35:51
67,6,Aloo Tikki,Delicious and authentic Aloo Tikki.,166,Appetizers,True,Veg,2024-02-23 03:28:05,2024-04-20 15:11:12
68,6,Aam Panna,A popular Indian dish.,230,Beverages,True,Veg,2023-05-16 13:03:02,2025-03-01 00:02:12
69,6,Jalebi,A must-try Jalebi from India.,401,Desserts,True,Veg,2023-01-07 09:34:42,2023-02-06 05:29:13
70,6,Seekh Kebab,A popular Indian dish.,106,Appetizers,True,Non-Veg,2023-07-06 13:50:31,2024-11-17 19:30:52
71,6,Paneer Butter Masala,Traditional Indian Paneer Butter Masala with rich flavors.,232,Main Course,True,Veg,2022-07-12 13:45:17,2023-02-23 16:03:31
72,6,Prawn Skewers,Traditional Indian Prawn Skewers with rich flavors.,110,Appetizers,True,Non-Veg,2023-06-16 14:39:36,2024-01-27 08:21:12
73,7,Samosa,Classic Samosa with a twist.,127,Appetizers,True,Veg,2023-03-05 23:16:09,2024-05-27 15:04:18
74,7,Palak Paneer,Classic Palak Paneer with a twist.,221,Main Course,True,Veg,2023-07-10 07:49:20,2025-02-10 12:01:35
75,7,Pani Puri,A must-try Pani Puri from India.,126,Snacks,True,Veg,2023-03-28 05:37:08,2024-07-22 12:16:27
76,7,Sandesh,Traditional Indian Sandesh with rich flavors.,228,Desserts,True,Veg,2023-07-22 09:24:42,2025-02-07 08:37:20
77,7,Fish Fry,A must-try Fish Fry from India.,388,Appetizers,True,Non-Veg,2023-11-12 01:17:39,2025-02-23 02:30:56
78,7,Kulfi,Delicious and authentic Kulfi.,453,Desserts,True,Veg,2023-04-01 10:03:43,2023-06-15 10:37:31
79,7,Chicken Tikka,A popular Indian dish.,213,Appetizers,True,Non-Veg,2023-12-17 07:40:32,2024-07-01 18:09:27
80,7,Malai Kofta,A must-try Malai Kofta from India.,467,Main Course,True,Veg,2022-11-23 10:42:51,2023-04-17 08:48:29
81,7,Paneer Tikka,Classic Paneer Tikka with a twist.,268,Appetizers,True,Veg,2023-09-26 13:14:34,2023-10-07 03:23:57
82,7,Kheer,Delicious and authentic Kheer.,215,Desserts,True,Veg,2022-03-27 14:24:54,2024-03-20 05:01:37
83,7,Dal Makhani,A must-try Dal Makhani from India.,230,Main Course,True,Veg,2023-05-21 05:18:27,2024-04-04 06:18:52
84,7,Mysore Pak,A must-try Mysore Pak from India.,296,Desserts,True,Veg,2023-04-12 02:51:01,2023-07-22 07:28:08
85,8,Falooda,Traditional Indian Falooda with rich flavors.,120,Beverages,True,Veg,2023-10-13 11:24:59,2024-06-15 07:55:24
86,8,Palak Paneer,A must-try Palak Paneer from India.,331,Main Course,True,Veg,2023-12-30 18:20:49,2024-10-11 23:07:45
87,8,Thandai,Classic Thandai with a twist.,302,Beverages,True,Veg,2023-05-08 14:42:36,2024-02-14 05:32:41
88,8,Dabeli,A popular Indian dish.,246,Snacks,True,Veg,2022-12-14 18:23:43,2023-02-21 02:33:56
89,8,Prawn Skewers,A must-try Prawn Skewers from India.,319,Appetizers,True,Non-Veg,2022-04-03 07:33:04,2024-01-15 03:10:42
90,8,Vada Pav,Delicious and authentic Vada Pav.,170,Snacks,True,Veg,2023-11-21 06:51:57,2024-07-26 13:31:05
91,8,Gulab Jamun,A popular Indian dish.,485,Desserts,True,Veg,2023-11-10 04:20:49,2024-12-29 23:24:41
92,8,Spring Rolls,Classic Spring Rolls with a twist.,292,Appetizers,True,Veg,2022-03-07 02:53:27,2023-01-29 19:04:41
93,8,Paneer Butter Masala,Delicious and authentic Paneer Butter Masala.,228,Main Course,True,Veg,2024-02-22 12:27:15,2024-12-13 22:03:33
94,8,Kheer,Traditional Indian Kheer with rich flavors.,285,Desserts,True,Veg,2022-07-04 18:11:37,2025-01-08 12:33:22
95,8,Mutton Curry,A must-try Mutton Curry from India.,174,Main Course,True,Non-Veg,2022-07-06 18:27:39,2023-03-29 12:00:29
96,8,Chole Bhature,Delicious and authentic Chole Bhature.,432,Main Course,True,Veg,2023-11-17 14:44:24,2024-04-14 01:58:22
97,8,Dal Makhani,A must-try Dal Makhani from India.,425,Main Course,True,Veg,2022-12-11 01:00:54,2023-12-23 04:20:56
98,8,Hara Bhara Kebab,Traditional Indian Hara Bhara Kebab with rich flavors.,77,Appetizers,True,Veg,2023-01-07 12:11:43,2024-08-25 17:21:49
99,8,Paneer Tikka,A must-try Paneer Tikka from India.,478,Appetizers,True,Veg,2023-09-11 03:59:31,2024-12-17 21:44:59
100,9,Butter Chicken,A popular Indian dish.,237,Main Course,True,Non-Veg,2023-09-02 13:30:02,2024-10-24 02:13:59
101,9,Paneer Butter Masala,A popular Indian dish.,89,Main Course,True,Veg,2022-03-18 16:37:17,2023-12-05 04:26:29
102,9,Prawn Skewers,A must-try Prawn Skewers from India.,126,Appetizers,True,Non-Veg,2023-02-20 13:21:32,2023-10-16 08:44:39
103,9,Malai Kofta,A popular Indian dish.,433,Main Course,True,Veg,2023-08-09 04:20:53,2025-02-25 22:49:39
104,9,Pakora,A must-try Pakora from India.,260,Snacks,True,Veg,2023-02-18 21:29:12,2024-08-03 17:01:51
105,9,Mysore Pak,Delicious and authentic Mysore Pak.,196,Desserts,True,Veg,2023-08-09 19:32:44,2024-04-18 03:48:32
106,9,Chicken Tikka,Delicious and authentic Chicken Tikka.,378,Appetizers,True,Non-Veg,2023-03-17 04:40:01,2025-01-25 15:27:55
107,9,Chicken Wings,A popular Indian dish.,55,Appetizers,True,Non-Veg,2022-06-09 09:50:01,2023-09-19 01:49:32
108,9,Aam Panna,A must-try Aam Panna from India.,333,Beverages,True,Veg,2024-01-26 08:05:54,2024-05-13 14:33:44
109,9,Sandesh,Classic Sandesh with a twist.,206,Desserts,True,Veg,2023-10-16 14:52:33,2025-02-12 05:38:32
110,9,Palak Paneer,A popular Indian dish.,189,Main Course,True,Veg,2022-12-24 23:14:44,2024-11-30 12:30:51
111,9,Hara Bhara Kebab,A popular Indian dish.,430,Appetizers,True,Veg,2023-06-22 00:38:49,2024-05-28 02:12:59
112,9,Fish Curry,Delicious and authentic Fish Curry.,162,Main Course,True,Non-Veg,2022-04-02 15:04:40,2023-07-21 18:38:31
113,9,Nimbu Pani,Classic Nimbu Pani with a twist.,359,Beverages,True,Veg,2023-03-03 06:45:59,2024-05-16 21:28:59
114,10,Buttermilk,Traditional Indian Buttermilk with rich flavors.,384,Beverages,True,Veg,2023-06-16 03:19:13,2024-07-12 10:16:24
115,10,Aam Panna,A popular Indian dish.,77,Beverages,True,Veg,2023-01-22 01:40:24,2023-08-19 15:39:15
116,10,Gajar Halwa,A popular Indian dish.,188,Desserts,True,Veg,2024-02-04 13:30:16,2024-12-08 14:02:38
117,10,Paneer Tikka,Delicious and authentic Paneer Tikka.,235,Appetizers,True,Veg,2022-12-02 01:06:28,2025-01-11 10:52:08
118,10,Dhokla,Delicious and authentic Dhokla.,172,Snacks,True,Veg,2023-07-19 06:21:15,2024-02-09 09:52:44
119,10,Kheer,Classic Kheer with a twist.,104,Desserts,True,Veg,2023-01-18 07:45:52,2024-04-10 19:46:39
120,10,Aloo Tikki,Classic Aloo Tikki with a twist.,55,Appetizers,True,Veg,2023-02-17 00:33:14,2025-01-15 16:24:52
121,10,Jalebi,Classic Jalebi with a twist.,153,Desserts,True,Veg,2022-11-25 16:14:45,2025-03-01 15:57:46
122,10,Fish Fry,Delicious and authentic Fish Fry.,341,Appetizers,True,Non-Veg,2022-11-06 05:13:35,2024-05-10 02:49:28
123,10,Pav Bhaji,Classic Pav Bhaji with a twist.,454,Snacks,True,Veg,2022-12-30 07:13:53,2024-12-02 21:33:36
124,11,Samosa,Traditional Indian Samosa with rich flavors.,97,Appetizers,True,Veg,2022-11-10 18:42:50,2023-09-23 06:55:52
125,11,Gulab Jamun,Traditional Indian Gulab Jamun with rich flavors.,434,Desserts,True,Veg,2022-05-05 04:29:52,2024-08-29 07:17:02
126,11,Gajar Halwa,Classic Gajar Halwa with a twist.,149,Desserts,True,Veg,2022-03-09 00:24:39,2023-07-22 15:18:50
127,11,Ras Malai,A popular Indian dish.,409,Desserts,True,Veg,2023-02-05 18:32:35,2024-06-04 16:54:19
128,11,Spring Rolls,A must-try Spring Rolls from India.,429,Appetizers,True,Veg,2022-07-26 14:30:34,2024-04-13 02:46:52
129,11,Bhel Puri,Classic Bhel Puri with a twist.,463,Snacks,True,Veg,2023-05-06 21:14:05,2024-11-04 13:19:25
130,11,Butter Chicken,Classic Butter Chicken with a twist.,457,Main Course,True,Non-Veg,2023-01-28 15:42:47,2024-01-19 14:32:00
131,11,Buttermilk,Classic Buttermilk with a twist.,494,Beverages,True,Veg,2022-05-26 02:24:10,2025-01-06 04:07:22
132,11,Fish Fry,A popular Indian dish.,127,Appetizers,True,Non-Veg,2022-11-22 10:25:12,2025-01-04 18:41:17
133,11,Lassi,Delicious and authentic Lassi.,417,Beverages,True,Veg,2024-02-22 12:21:04,2024-10-25 06:30:00
134,11,Chole Bhature,A popular Indian dish.,443,Main Course,True,Veg,2023-02-03 02:09:13,2025-02-27 10:39:00
135,11,Mutton Curry,Classic Mutton Curry with a twist.,423,Main Course,True,Non-Veg,2022-05-04 00:17:37,2022-06-18 16:32:10
136,11,Dabeli,Traditional Indian Dabeli with rich flavors.,279,Snacks,True,Veg,2023-10-22 03:39:42,2024-08-08 13:42:33
137,12,Kulfi,Traditional Indian Kulfi with rich flavors.,369,Desserts,True,Veg,2022-07-04 14:13:30,2022-12-07 12:19:56
138,12,Masala Chai,A must-try Masala Chai from India.,172,Beverages,True,Veg,2023-04-02 06:42:58,2024-09-28 16:36:48
139,12,Fish Curry,Classic Fish Curry with a twist.,88,Main Course,True,Non-Veg,2024-01-15 17:12:21,2024-10-26 02:46:59
140,12,Malai Kofta,Delicious and authentic Malai Kofta.,462,Main Course,True,Veg,2022-10-13 04:39:27,2024-05-24 03:34:41
141,12,Chicken Tikka,Traditional Indian Chicken Tikka with rich flavors.,330,Appetizers,True,Non-Veg,2023-03-25 15:24:02,2024-10-15 16:14:59
142,12,Seekh Kebab,Delicious and authentic Seekh Kebab.,282,Appetizers,True,Non-Veg,2022-11-13 20:23:16,2025-01-24 00:57:40
143,12,Kheer,Traditional Indian Kheer with rich flavors.,132,Desserts,True,Veg,2023-11-06 20:41:35,2024-05-11 06:02:48
144,12,Fish Fry,Classic Fish Fry with a twist.,236,Appetizers,True,Non-Veg,2023-09-26 00:37:26,2023-10-02 22:57:58
145,12,Rasgulla,Delicious and authentic Rasgulla.,141,Desserts,True,Veg,2022-06-30 11:27:12,2022-09-18 13:59:59
146,12,Fruit Juice,A must-try Fruit Juice from India.,181,Beverages,True,Veg,2023-02-14 11:28:27,2025-01-16 14:08:22
147,12,Nimbu Pani,Delicious and authentic Nimbu Pani.,341,Beverages,True,Veg,2024-02-09 04:19:34,2024-03-23 19:14:52
148,13,Spring Rolls,Traditional Indian Spring Rolls with rich flavors.,255,Appetizers,True,Veg,2023-07-23 18:26:25,2023-10-05 01:48:39
149,13,Falooda,A popular Indian dish.,275,Beverages,True,Veg,2022-06-12 08:14:22,2022-08-16 00:32:42
150,13,Peda,Classic Peda with a twist.,210,Desserts,True,Veg,2023-09-21 02:17:05,2024-11-04 19:57:07
151,13,Rasgulla,A must-try Rasgulla from India.,309,Desserts,True,Veg,2022-09-14 10:08:46,2023-05-10 19:37:45
152,13,Fruit Juice,Delicious and authentic Fruit Juice.,367,Beverages,True,Veg,2022-06-14 00:52:17,2022-09-27 03:26:38
153,13,Aloo Tikki,Classic Aloo Tikki with a twist.,54,Appetizers,True,Veg,2023-05-11 02:24:59,2023-11-09 12:44:43
154,13,Paneer Butter Masala,Traditional Indian Paneer Butter Masala with rich flavors.,242,Main Course,True,Veg,2024-02-12 17:57:57,2024-12-06 15:50:08
155,13,Fish Curry,A must-try Fish Curry from India.,487,Main Course,True,Non-Veg,2022-11-07 03:05:50,2024-01-27 03:20:47
156,13,Hara Bhara Kebab,A must-try Hara Bhara Kebab from India.,392,Appetizers,True,Veg,2023-08-02 06:23:44,2023-11-10 04:43:37
157,13,Seekh Kebab,A must-try Seekh Kebab from India.,378,Appetizers,True,Non-Veg,2023-07-11 23:44:39,2024-11-08 23:59:46
158,13,Sev Puri,Delicious and authentic Sev Puri.,93,Snacks,True,Veg,2023-11-05 20:43:22,2024-08-16 12:58:32
159,13,Palak Paneer,A must-try Palak Paneer from India.,152,Main Course,True,Veg,2022-05-15 07:10:38,2022-07-03 12:32:50
160,13,Coconut Water,Delicious and authentic Coconut Water.,212,Beverages,True,Veg,2023-10-16 10:17:08,2024-02-11 13:50:15
161,14,Sev Puri,A popular Indian dish.,409,Snacks,True,Veg,2023-07-11 11:15:59,2023-07-15 14:24:27
162,14,Lassi,Traditional Indian Lassi with rich flavors.,282,Beverages,True,Veg,2023-11-22 12:13:19,2024-04-15 20:03:01
163,14,Chicken Wings,A popular Indian dish.,290,Appetizers,True,Non-Veg,2023-10-14 06:25:16,2024-09-21 23:41:14
164,14,Chole Bhature,Traditional Indian Chole Bhature with rich flavors.,340,Main Course,True,Veg,2023-10-05 17:07:59,2025-01-10 11:47:39
165,14,Prawn Skewers,A must-try Prawn Skewers from India.,81,Appetizers,True,Non-Veg,2023-10-07 10:53:41,2024-11-24 16:13:55
166,14,Gajar Halwa,A must-try Gajar Halwa from India.,159,Desserts,True,Veg,2022-03-21 18:10:10,2023-01-01 17:50:38
167,14,Aloo Tikki,Delicious and authentic Aloo Tikki.,438,Appetizers,True,Veg,2023-04-20 12:00:32,2024-02-13 03:07:24
168,14,Fruit Juice,Traditional Indian Fruit Juice with rich flavors.,375,Beverages,True,Veg,2022-05-04 07:31:09,2022-05-29 11:46:44
169,14,Paneer Butter Masala,A popular Indian dish.,85,Main Course,True,Veg,2022-07-28 14:21:09,2024-06-16 06:30:08
170,14,Rasgulla,Traditional Indian Rasgulla with rich flavors.,497,Desserts,True,Veg,2022-12-06 05:04:34,2023-06-18 10:43:37
171,14,Aam Panna,Classic Aam Panna with a twist.,159,Beverages,True,Veg,2023-02-25 20:43:27,2024-09-18 13:12:29
172,14,Kheer,Delicious and authentic Kheer.,97,Desserts,True,Veg,2023-04-23 15:39:11,2024-10-03 19:48:43
173,15,Kulfi,A popular Indian dish.,151,Desserts,True,Veg,2023-04-04 14:36:48,2024-02-13 02:37:20
174,15,Gajar Halwa,A must-try Gajar Halwa from India.,293,Desserts,True,Veg,2022-08-08 01:02:28,2024-08-15 05:02:44
175,15,Pani Puri,A must-try Pani Puri from India.,231,Snacks,True,Veg,2022-09-02 05:43:06,2024-09-10 11:23:28
176,15,Kachori,Delicious and authentic Kachori.,337,Snacks,True,Veg,2023-02-28 03:23:05,2023-07-04 16:38:36
177,15,Vada Pav,Delicious and authentic Vada Pav.,420,Snacks,True,Veg,2022-06-05 14:10:09,2024-06-15 11:54:01
178,15,Aloo Chaat,A popular Indian dish.,215,Snacks,True,Veg,2023-01-29 12:01:49,2024-01-17 22:00:12
179,15,Gulab Jamun,A popular Indian dish.,284,Desserts,True,Veg,2024-01-08 04:14:30,2024-06-06 03:38:28
180,15,Malai Kofta,Traditional Indian Malai Kofta with rich flavors.,108,Main Course,True,Veg,2023-03-22 22:20:50,2025-01-17 11:55:02
181,15,Fruit Juice,Classic Fruit Juice with a twist.,419,Beverages,True,Veg,2023-08-11 18:50:39,2024-11-12 13:06:03
182,15,Seekh Kebab,A popular Indian dish.,374,Appetizers,True,Non-Veg,2023-11-24 05:14:55,2024-05-21 13:15:45
183,15,Falooda,Delicious and authentic Falooda.,68,Beverages,True,Veg,2023-10-05 05:15:43,2024-09-29 17:07:23
184,15,Chole Bhature,A must-try Chole Bhature from India.,406,Main Course,True,Veg,2023-04-06 12:02:10,2024-01-07 03:05:27
185,15,Dhokla,A popular Indian dish.,147,Snacks,True,Veg,2023-10-21 21:30:50,2025-01-16 02:42:04
186,16,Pav Bhaji,Traditional Indian Pav Bhaji with rich flavors.,466,Snacks,True,Veg,2023-11-10 09:31:29,2024-09-24 20:04:23
187,16,Gulab Jamun,Traditional Indian Gulab Jamun with rich flavors.,207,Desserts,True,Veg,2023-10-17 03:30:55,2024-05-05 09:29:09
188,16,Bhel Puri,A must-try Bhel Puri from India.,382,Snacks,True,Veg,2022-06-05 11:05:04,2024-01-29 19:20:57
189,16,Aam Panna,A must-try Aam Panna from India.,230,Beverages,True,Veg,2023-07-30 01:02:54,2024-05-02 18:24:49
190,16,Peda,A must-try Peda from India.,317,Desserts,True,Veg,2024-01-04 06:55:48,2024-10-05 22:40:32
191,16,Rasgulla,A popular Indian dish.,284,Desserts,True,Veg,2022-08-15 16:28:47,2024-03-09 17:13:30
192,16,Coconut Water,A popular Indian dish.,333,Beverages,True,Veg,2023-01-13 15:30:59,2023-11-09 11:31:24
193,16,Pani Puri,Classic Pani Puri with a twist.,273,Snacks,True,Veg,2023-04-19 11:20:25,2024-11-01 04:19:24
194,16,Fruit Juice,A must-try Fruit Juice from India.,374,Beverages,True,Veg,2023-11-07 15:37:26,2024-11-27 17:23:17
195,16,Sandesh,Delicious and authentic Sandesh.,94,Desserts,True,Veg,2022-08-06 06:18:40,2023-11-09 20:13:34
196,16,Paneer Tikka,Delicious and authentic Paneer Tikka.,365,Appetizers,True,Veg,2022-04-22 18:13:28,2023-12-24 11:07:34
197,16,Lassi,A must-try Lassi from India.,433,Beverages,True,Veg,2023-12-23 20:20:21,2025-02-04 04:08:18
198,16,Dabeli,Delicious and authentic Dabeli.,374,Snacks,True,Veg,2022-10-30 15:59:49,2024-08-21 17:32:06
199,16,Thandai,Classic Thandai with a twist.,462,Beverages,True,Veg,2023-11-27 10:43:10,2024-09-25 13:52:31
200,16,Fish Fry,A must-try Fish Fry from India.,158,Appetizers,True,Non-Veg,2023-11-06 09:21:08,2024-01-09 00:21:20
201,17,Thandai,A must-try Thandai from India.,108,Beverages,True,Veg,2023-05-28 01:54:23,2024-07-07 15:59:44
202,17,Malai Kofta,Delicious and authentic Malai Kofta.,229,Main Course,True,Veg,2022-06-10 11:29:27,2024-11-09 09:16:32
203,17,Aam Panna,A must-try Aam Panna from India.,53,Beverages,True,Veg,2022-11-29 18:38:02,2024-09-23 11:03:54
204,17,Jalebi,Classic Jalebi with a twist.,195,Desserts,True,Veg,2023-06-05 20:19:29,2024-08-17 17:59:26
205,17,Kulfi,Traditional Indian Kulfi with rich flavors.,479,Desserts,True,Veg,2023-05-08 22:20:55,2025-01-25 01:47:56
206,17,Cold Coffee,Delicious and authentic Cold Coffee.,262,Beverages,True,Veg,2022-08-23 01:58:24,2024-05-24 09:19:49
207,17,Samosa,Delicious and authentic Samosa.,128,Appetizers,True,Veg,2024-02-22 15:06:42,2024-05-15 09:49:46
208,17,Peda,Classic Peda with a twist.,212,Desserts,True,Veg,2023-04-21 17:36:01,2023-09-24 19:57:07
209,17,Kheer,Classic Kheer with a twist.,270,Desserts,True,Veg,2022-08-30 17:53:40,2023-02-17 10:46:22
